Familia,Modulo_ID,Algoritmo,Repeticao,TargetModule,Coverage
TheAlgorithms,1,DYNAMOSA,1,math_logic_1,1.0
TheAlgorithms,10,DYNAMOSA,1,math_logic_10,1.0
TheAlgorithms,11,DYNAMOSA,1,math_logic_11,1.0
TheAlgorithms,12,DYNAMOSA,1,math_logic_12,1.0
TheAlgorithms,13,DYNAMOSA,1,math_logic_13,1.0
TheAlgorithms,14,DYNAMOSA,1,math_logic_14,1.0
TheAlgorithms,15,DYNAMOSA,1,math_logic_15,1.0
TheAlgorithms,16,DYNAMOSA,1,math_logic_16,1.0
TheAlgorithms,17,DYNAMOSA,1,math_logic_17,1.0
TheAlgorithms,18,DYNAMOSA,1,math_logic_18,1.0
TheAlgorithms,19,DYNAMOSA,1,math_logic_19,1.0
TheAlgorithms,2,DYNAMOSA,1,math_logic_2,1.0
TheAlgorithms,20,DYNAMOSA,1,math_logic_20,0.6470588235294118
TheAlgorithms,21,DYNAMOSA,1,math_logic_21,1.0
TheAlgorithms,22,DYNAMOSA,1,math_logic_22,0.7058823529411765
TheAlgorithms,23,DYNAMOSA,1,math_logic_23,0.7058823529411765
TheAlgorithms,24,DYNAMOSA,1,math_logic_24,1.0
TheAlgorithms,25,DYNAMOSA,1,math_logic_25,1.0
TheAlgorithms,26,DYNAMOSA,1,math_logic_26,1.0
TheAlgorithms,27,DYNAMOSA,1,math_logic_27,1.0
TheAlgorithms,28,DYNAMOSA,1,math_logic_28,1.0
TheAlgorithms,29,DYNAMOSA,1,math_logic_29,0.6470588235294118
TheAlgorithms,3,DYNAMOSA,1,math_logic_3,1.0
TheAlgorithms,30,DYNAMOSA,1,math_logic_30,1.0
TheAlgorithms,4,DYNAMOSA,1,math_logic_4,1.0
TheAlgorithms,5,DYNAMOSA,1,math_logic_5,1.0
TheAlgorithms,6,DYNAMOSA,1,math_logic_6,1.0
TheAlgorithms,7,DYNAMOSA,1,math_logic_7,1.0
TheAlgorithms,8,DYNAMOSA,1,math_logic_8,1.0
TheAlgorithms,9,DYNAMOSA,1,math_logic_9,1.0
Validators,1,DYNAMOSA,1,string_val_1,0.4782608695652174
Validators,10,DYNAMOSA,1,string_val_10,0.2608695652173913
Validators,11,DYNAMOSA,1,string_val_11,0.2608695652173913
Validators,12,DYNAMOSA,1,string_val_12,0.2608695652173913
Validators,13,DYNAMOSA,1,string_val_13,0.2608695652173913
Validators,14,DYNAMOSA,1,string_val_14,0.2608695652173913
Validators,15,DYNAMOSA,1,string_val_15,0.2608695652173913
Validators,16,DYNAMOSA,1,string_val_16,0.2608695652173913
Validators,17,DYNAMOSA,1,string_val_17,0.1739130434782608
Validators,18,DYNAMOSA,1,string_val_18,0.2608695652173913
Validators,19,DYNAMOSA,1,string_val_19,0.1739130434782608
Validators,2,DYNAMOSA,1,string_val_2,0.4782608695652174
Validators,20,DYNAMOSA,1,string_val_20,0.2608695652173913
Validators,21,DYNAMOSA,1,string_val_21,0.2608695652173913
Validators,22,DYNAMOSA,1,string_val_22,0.1739130434782608
Validators,23,DYNAMOSA,1,string_val_23,0.2608695652173913
Validators,24,DYNAMOSA,1,string_val_24,0.2608695652173913
Validators,25,DYNAMOSA,1,string_val_25,0.2608695652173913
Validators,26,DYNAMOSA,1,string_val_26,0.2608695652173913
Validators,27,DYNAMOSA,1,string_val_27,0.2608695652173913
Validators,28,DYNAMOSA,1,string_val_28,0.2608695652173913
Validators,29,DYNAMOSA,1,string_val_29,0.2608695652173913
Validators,3,DYNAMOSA,1,string_val_3,0.2608695652173913
Validators,30,DYNAMOSA,1,string_val_30,0.2608695652173913
Validators,4,DYNAMOSA,1,string_val_4,0.2608695652173913
Validators,5,DYNAMOSA,1,string_val_5,0.2608695652173913
Validators,6,DYNAMOSA,1,string_val_6,0.2608695652173913
Validators,7,DYNAMOSA,1,string_val_7,0.2608695652173913
Validators,8,DYNAMOSA,1,string_val_8,0.2608695652173913
Validators,9,DYNAMOSA,1,string_val_9,0.2608695652173913
TheAlgorithms,1,DYNAMOSA,2,math_logic_1,1.0
TheAlgorithms,10,DYNAMOSA,2,math_logic_10,0.9411764705882352
TheAlgorithms,11,DYNAMOSA,2,math_logic_11,1.0
TheAlgorithms,12,DYNAMOSA,2,math_logic_12,1.0
TheAlgorithms,13,DYNAMOSA,2,math_logic_13,1.0
TheAlgorithms,14,DYNAMOSA,2,math_logic_14,1.0
TheAlgorithms,15,DYNAMOSA,2,math_logic_15,1.0
TheAlgorithms,16,DYNAMOSA,2,math_logic_16,1.0
TheAlgorithms,17,DYNAMOSA,2,math_logic_17,1.0
TheAlgorithms,18,DYNAMOSA,2,math_logic_18,1.0
TheAlgorithms,19,DYNAMOSA,2,math_logic_19,1.0
TheAlgorithms,2,DYNAMOSA,2,math_logic_2,1.0
TheAlgorithms,20,DYNAMOSA,2,math_logic_20,1.0
TheAlgorithms,21,DYNAMOSA,2,math_logic_21,1.0
TheAlgorithms,22,DYNAMOSA,2,math_logic_22,1.0
TheAlgorithms,23,DYNAMOSA,2,math_logic_23,1.0
TheAlgorithms,24,DYNAMOSA,2,math_logic_24,1.0
TheAlgorithms,25,DYNAMOSA,2,math_logic_25,1.0
TheAlgorithms,26,DYNAMOSA,2,math_logic_26,1.0
TheAlgorithms,27,DYNAMOSA,2,math_logic_27,1.0
TheAlgorithms,28,DYNAMOSA,2,math_logic_28,0.9411764705882352
TheAlgorithms,29,DYNAMOSA,2,math_logic_29,1.0
TheAlgorithms,3,DYNAMOSA,2,math_logic_3,1.0
TheAlgorithms,30,DYNAMOSA,2,math_logic_30,0.7058823529411765
TheAlgorithms,4,DYNAMOSA,2,math_logic_4,1.0
TheAlgorithms,5,DYNAMOSA,2,math_logic_5,1.0
TheAlgorithms,6,DYNAMOSA,2,math_logic_6,1.0
TheAlgorithms,7,DYNAMOSA,2,math_logic_7,1.0
TheAlgorithms,8,DYNAMOSA,2,math_logic_8,1.0
TheAlgorithms,9,DYNAMOSA,2,math_logic_9,1.0
Validators,1,DYNAMOSA,2,string_val_1,0.4347826086956521
Validators,10,DYNAMOSA,2,string_val_10,0.2608695652173913
Validators,11,DYNAMOSA,2,string_val_11,0.2608695652173913
Validators,12,DYNAMOSA,2,string_val_12,0.2608695652173913
Validators,13,DYNAMOSA,2,string_val_13,0.2608695652173913
Validators,14,DYNAMOSA,2,string_val_14,0.2608695652173913
Validators,15,DYNAMOSA,2,string_val_15,0.2608695652173913
Validators,16,DYNAMOSA,2,string_val_16,0.2608695652173913
Validators,17,DYNAMOSA,2,string_val_17,0.2608695652173913
Validators,18,DYNAMOSA,2,string_val_18,0.1739130434782608
Validators,19,DYNAMOSA,2,string_val_19,0.2608695652173913
Validators,2,DYNAMOSA,2,string_val_2,0.391304347826087
Validators,20,DYNAMOSA,2,string_val_20,0.1739130434782608
Validators,21,DYNAMOSA,2,string_val_21,0.1739130434782608
Validators,22,DYNAMOSA,2,string_val_22,0.2608695652173913
Validators,23,DYNAMOSA,2,string_val_23,0.2608695652173913
Validators,24,DYNAMOSA,2,string_val_24,0.2608695652173913
Validators,25,DYNAMOSA,2,string_val_25,0.2608695652173913
Validators,26,DYNAMOSA,2,string_val_26,0.1739130434782608
Validators,27,DYNAMOSA,2,string_val_27,0.2608695652173913
Validators,28,DYNAMOSA,2,string_val_28,0.2608695652173913
Validators,29,DYNAMOSA,2,string_val_29,0.2608695652173913
Validators,3,DYNAMOSA,2,string_val_3,0.2608695652173913
Validators,30,DYNAMOSA,2,string_val_30,0.1739130434782608
Validators,4,DYNAMOSA,2,string_val_4,0.2608695652173913
Validators,5,DYNAMOSA,2,string_val_5,0.2608695652173913
Validators,6,DYNAMOSA,2,string_val_6,0.2608695652173913
Validators,7,DYNAMOSA,2,string_val_7,0.2608695652173913
Validators,8,DYNAMOSA,2,string_val_8,0.2608695652173913
Validators,9,DYNAMOSA,2,string_val_9,0.2608695652173913
TheAlgorithms,1,DYNAMOSA,3,math_logic_1,1.0
TheAlgorithms,10,DYNAMOSA,3,math_logic_10,1.0
TheAlgorithms,11,DYNAMOSA,3,math_logic_11,1.0
TheAlgorithms,12,DYNAMOSA,3,math_logic_12,1.0
TheAlgorithms,13,DYNAMOSA,3,math_logic_13,1.0
TheAlgorithms,14,DYNAMOSA,3,math_logic_14,1.0
TheAlgorithms,15,DYNAMOSA,3,math_logic_15,1.0
TheAlgorithms,16,DYNAMOSA,3,math_logic_16,1.0
TheAlgorithms,17,DYNAMOSA,3,math_logic_17,1.0
TheAlgorithms,18,DYNAMOSA,3,math_logic_18,1.0
TheAlgorithms,19,DYNAMOSA,3,math_logic_19,1.0
TheAlgorithms,2,DYNAMOSA,3,math_logic_2,1.0
TheAlgorithms,20,DYNAMOSA,3,math_logic_20,1.0
TheAlgorithms,21,DYNAMOSA,3,math_logic_21,1.0
TheAlgorithms,22,DYNAMOSA,3,math_logic_22,1.0
TheAlgorithms,23,DYNAMOSA,3,math_logic_23,1.0
TheAlgorithms,24,DYNAMOSA,3,math_logic_24,1.0
TheAlgorithms,25,DYNAMOSA,3,math_logic_25,1.0
TheAlgorithms,26,DYNAMOSA,3,math_logic_26,1.0
TheAlgorithms,27,DYNAMOSA,3,math_logic_27,1.0
TheAlgorithms,28,DYNAMOSA,3,math_logic_28,1.0
TheAlgorithms,29,DYNAMOSA,3,math_logic_29,1.0
TheAlgorithms,3,DYNAMOSA,3,math_logic_3,1.0
TheAlgorithms,30,DYNAMOSA,3,math_logic_30,1.0
TheAlgorithms,4,DYNAMOSA,3,math_logic_4,1.0
TheAlgorithms,5,DYNAMOSA,3,math_logic_5,1.0
TheAlgorithms,6,DYNAMOSA,3,math_logic_6,1.0
TheAlgorithms,7,DYNAMOSA,3,math_logic_7,1.0
TheAlgorithms,8,DYNAMOSA,3,math_logic_8,1.0
TheAlgorithms,9,DYNAMOSA,3,math_logic_9,1.0
Validators,1,DYNAMOSA,3,string_val_1,0.5217391304347826
Validators,10,DYNAMOSA,3,string_val_10,0.2608695652173913
Validators,11,DYNAMOSA,3,string_val_11,0.2608695652173913
Validators,12,DYNAMOSA,3,string_val_12,0.2608695652173913
Validators,13,DYNAMOSA,3,string_val_13,0.2608695652173913
Validators,14,DYNAMOSA,3,string_val_14,0.2608695652173913
Validators,15,DYNAMOSA,3,string_val_15,0.2608695652173913
Validators,16,DYNAMOSA,3,string_val_16,0.2608695652173913
Validators,17,DYNAMOSA,3,string_val_17,0.2608695652173913
Validators,18,DYNAMOSA,3,string_val_18,0.2608695652173913
Validators,19,DYNAMOSA,3,string_val_19,0.2608695652173913
Validators,2,DYNAMOSA,3,string_val_2,0.391304347826087
Validators,20,DYNAMOSA,3,string_val_20,0.2608695652173913
Validators,21,DYNAMOSA,3,string_val_21,0.2608695652173913
Validators,22,DYNAMOSA,3,string_val_22,0.2608695652173913
Validators,23,DYNAMOSA,3,string_val_23,0.1739130434782608
Validators,24,DYNAMOSA,3,string_val_24,0.2608695652173913
Validators,25,DYNAMOSA,3,string_val_25,0.1739130434782608
Validators,26,DYNAMOSA,3,string_val_26,0.2608695652173913
Validators,27,DYNAMOSA,3,string_val_27,0.2608695652173913
Validators,28,DYNAMOSA,3,string_val_28,0.2608695652173913
Validators,29,DYNAMOSA,3,string_val_29,0.2608695652173913
Validators,3,DYNAMOSA,3,string_val_3,0.2608695652173913
Validators,30,DYNAMOSA,3,string_val_30,0.2608695652173913
Validators,4,DYNAMOSA,3,string_val_4,0.2608695652173913
Validators,5,DYNAMOSA,3,string_val_5,0.2608695652173913
Validators,6,DYNAMOSA,3,string_val_6,0.2608695652173913
Validators,7,DYNAMOSA,3,string_val_7,0.2608695652173913
Validators,8,DYNAMOSA,3,string_val_8,0.2608695652173913
Validators,9,DYNAMOSA,3,string_val_9,0.2608695652173913
TheAlgorithms,1,MIO,1,math_logic_1,0.7058823529411765
TheAlgorithms,10,MIO,1,math_logic_10,0.9411764705882352
TheAlgorithms,11,MIO,1,math_logic_11,1.0
TheAlgorithms,12,MIO,1,math_logic_12,0.7058823529411765
TheAlgorithms,13,MIO,1,math_logic_13,0.7058823529411765
TheAlgorithms,14,MIO,1,math_logic_14,1.0
TheAlgorithms,15,MIO,1,math_logic_15,0.7058823529411765
TheAlgorithms,16,MIO,1,math_logic_16,0.6470588235294118
TheAlgorithms,17,MIO,1,math_logic_17,0.9411764705882352
TheAlgorithms,18,MIO,1,math_logic_18,0.9411764705882352
TheAlgorithms,19,MIO,1,math_logic_19,0.6470588235294118
TheAlgorithms,2,MIO,1,math_logic_2,0.6470588235294118
TheAlgorithms,20,MIO,1,math_logic_20,1.0
TheAlgorithms,21,MIO,1,math_logic_21,0.7058823529411765
TheAlgorithms,22,MIO,1,math_logic_22,1.0
TheAlgorithms,23,MIO,1,math_logic_23,0.6470588235294118
TheAlgorithms,24,MIO,1,math_logic_24,1.0
TheAlgorithms,25,MIO,1,math_logic_25,1.0
TheAlgorithms,26,MIO,1,math_logic_26,0.6470588235294118
TheAlgorithms,27,MIO,1,math_logic_27,0.7058823529411765
TheAlgorithms,28,MIO,1,math_logic_28,0.7058823529411765
TheAlgorithms,29,MIO,1,math_logic_29,1.0
TheAlgorithms,3,MIO,1,math_logic_3,1.0
TheAlgorithms,30,MIO,1,math_logic_30,0.6470588235294118
TheAlgorithms,4,MIO,1,math_logic_4,1.0
TheAlgorithms,5,MIO,1,math_logic_5,0.9411764705882352
TheAlgorithms,6,MIO,1,math_logic_6,1.0
TheAlgorithms,7,MIO,1,math_logic_7,0.9411764705882352
TheAlgorithms,8,MIO,1,math_logic_8,0.7058823529411765
TheAlgorithms,9,MIO,1,math_logic_9,1.0
Validators,1,MIO,1,string_val_1,0.4347826086956521
Validators,10,MIO,1,string_val_10,0.2608695652173913
Validators,11,MIO,1,string_val_11,0.2608695652173913
Validators,12,MIO,1,string_val_12,0.2608695652173913
Validators,13,MIO,1,string_val_13,0.2608695652173913
Validators,14,MIO,1,string_val_14,0.2608695652173913
Validators,15,MIO,1,string_val_15,0.2608695652173913
Validators,16,MIO,1,string_val_16,0.1739130434782608
Validators,17,MIO,1,string_val_17,0.1739130434782608
Validators,18,MIO,1,string_val_18,0.1739130434782608
