Modulo,Algoritmo,Repeticao,Cobertura
bubble_sort_1,DYNAMOSA,1,1.0
bubble_sort_1,DYNAMOSA,2,1.0
bubble_sort_1,DYNAMOSA,3,1.0
bubble_sort_1,MOSA,1,1.0
bubble_sort_1,MOSA,2,1.0
bubble_sort_1,MOSA,3,1.0
bubble_sort_1,MIO,1,1.0
bubble_sort_1,MIO,2,1.0
bubble_sort_1,MIO,3,1.0
bubble_sort_1,WHOLE_SUITE,1,1.0
bubble_sort_1,WHOLE_SUITE,2,1.0
bubble_sort_1,WHOLE_SUITE,3,1.0
bubble_sort_1,RANDOM,1,1.0
bubble_sort_1,RANDOM,2,1.0
bubble_sort_1,RANDOM,3,1.0
bubble_sort_10,DYNAMOSA,1,1.0
bubble_sort_10,DYNAMOSA,2,1.0
bubble_sort_10,DYNAMOSA,3,1.0
bubble_sort_10,MOSA,1,1.0
bubble_sort_10,MOSA,2,1.0
bubble_sort_10,MOSA,3,1.0
bubble_sort_10,MIO,1,0.7142857142857143
bubble_sort_10,MIO,2,1.0
bubble_sort_10,MIO,3,0.7142857142857143
bubble_sort_10,WHOLE_SUITE,1,1.0
bubble_sort_10,WHOLE_SUITE,2,0.9523809523809523
bubble_sort_10,WHOLE_SUITE,3,1.0
bubble_sort_10,RANDOM,1,0.2857142857142857
bubble_sort_10,RANDOM,2,0.2857142857142857
bubble_sort_10,RANDOM,3,0.2857142857142857
bubble_sort_13,DYNAMOSA,1,1.0
bubble_sort_13,DYNAMOSA,2,1.0
bubble_sort_13,DYNAMOSA,3,0.9523809523809523
bubble_sort_13,MOSA,1,1.0
bubble_sort_13,MOSA,2,1.0
bubble_sort_13,MOSA,3,1.0
bubble_sort_13,MIO,1,1.0
bubble_sort_13,MIO,2,1.0
bubble_sort_13,MIO,3,1.0
bubble_sort_13,WHOLE_SUITE,1,1.0
bubble_sort_13,WHOLE_SUITE,2,1.0
bubble_sort_13,WHOLE_SUITE,3,1.0
bubble_sort_13,RANDOM,1,0.2857142857142857
bubble_sort_13,RANDOM,2,0.2857142857142857
bubble_sort_13,RANDOM,3,0.2857142857142857
bubble_sort_16,DYNAMOSA,1,1.0
bubble_sort_16,DYNAMOSA,2,1.0
bubble_sort_16,DYNAMOSA,3,1.0
bubble_sort_16,MOSA,1,1.0
bubble_sort_16,MOSA,2,1.0
bubble_sort_16,MOSA,3,1.0
bubble_sort_16,MIO,1,0.6190476190476191
bubble_sort_16,MIO,2,0.7142857142857143
bubble_sort_16,MIO,3,0.9523809523809523
bubble_sort_16,WHOLE_SUITE,1,0.7142857142857143
bubble_sort_16,WHOLE_SUITE,2,1.0
bubble_sort_16,WHOLE_SUITE,3,0.9523809523809523
bubble_sort_16,RANDOM,1,0.2857142857142857
bubble_sort_16,RANDOM,2,0.2857142857142857
bubble_sort_16,RANDOM,3,0.2857142857142857
bubble_sort_19,DYNAMOSA,1,1.0
bubble_sort_19,DYNAMOSA,2,1.0
bubble_sort_19,DYNAMOSA,3,1.0
bubble_sort_19,MOSA,1,1.0
bubble_sort_19,MOSA,2,1.0
bubble_sort_19,MOSA,3,0.7142857142857143
bubble_sort_19,MIO,1,0.7142857142857143
bubble_sort_19,MIO,2,0.6190476190476191
bubble_sort_19,MIO,3,0.7142857142857143
bubble_sort_19,WHOLE_SUITE,1,1.0
bubble_sort_19,WHOLE_SUITE,2,0.9047619047619048
bubble_sort_19,WHOLE_SUITE,3,0.9523809523809523
bubble_sort_19,RANDOM,1,0.2857142857142857
bubble_sort_19,RANDOM,2,0.2857142857142857
bubble_sort_19,RANDOM,3,0.2857142857142857
bubble_sort_22,DYNAMOSA,1,1.0
bubble_sort_22,DYNAMOSA,2,0.7142857142857143
bubble_sort_22,DYNAMOSA,3,0.9523809523809523
bubble_sort_22,MOSA,1,1.0
bubble_sort_22,MOSA,2,0.7142857142857143
bubble_sort_22,MOSA,3,0.9523809523809523
bubble_sort_22,MIO,1,0.6190476190476191
bubble_sort_22,MIO,2,0.7142857142857143
bubble_sort_22,MIO,3,0.7142857142857143
bubble_sort_22,WHOLE_SUITE,1,0.7142857142857143
bubble_sort_22,WHOLE_SUITE,2,0.9523809523809523
bubble_sort_22,WHOLE_SUITE,3,1.0
bubble_sort_22,RANDOM,1,0.2857142857142857
bubble_sort_22,RANDOM,2,0.2857142857142857
bubble_sort_22,RANDOM,3,0.2857142857142857
bubble_sort_25,DYNAMOSA,1,1.0
bubble_sort_25,DYNAMOSA,2,0.7142857142857143
bubble_sort_25,DYNAMOSA,3,0.7142857142857143
bubble_sort_25,MOSA,1,1.0
bubble_sort_25,MOSA,2,1.0
bubble_sort_25,MOSA,3,1.0
bubble_sort_25,MIO,1,0.9523809523809523
bubble_sort_25,MIO,2,0.7142857142857143
bubble_sort_25,MIO,3,1.0
bubble_sort_25,WHOLE_SUITE,1,0.7142857142857143
bubble_sort_25,WHOLE_SUITE,2,0.6190476190476191
bubble_sort_25,WHOLE_SUITE,3,0.9523809523809523
bubble_sort_25,RANDOM,1,0.2857142857142857
bubble_sort_25,RANDOM,2,0.2857142857142857
bubble_sort_25,RANDOM,3,0.2857142857142857
bubble_sort_28,DYNAMOSA,1,1.0
bubble_sort_28,DYNAMOSA,2,0.7142857142857143
bubble_sort_28,DYNAMOSA,3,1.0
bubble_sort_28,MOSA,1,1.0
bubble_sort_28,MOSA,2,0.7142857142857143
bubble_sort_28,MOSA,3,0.7142857142857143
bubble_sort_28,MIO,1,0.6190476190476191
bubble_sort_28,MIO,2,0.6190476190476191
bubble_sort_28,MIO,3,0.7142857142857143
bubble_sort_28,WHOLE_SUITE,1,0.7142857142857143
bubble_sort_28,WHOLE_SUITE,2,0.7142857142857143
bubble_sort_28,WHOLE_SUITE,3,0.7142857142857143
bubble_sort_28,RANDOM,1,0.2857142857142857
bubble_sort_28,RANDOM,2,0.2857142857142857
bubble_sort_28,RANDOM,3,0.2857142857142857
bubble_sort_4,DYNAMOSA,1,1.0
bubble_sort_4,DYNAMOSA,2,1.0
bubble_sort_4,DYNAMOSA,3,1.0
bubble_sort_4,MOSA,1,1.0
bubble_sort_4,MOSA,2,1.0
bubble_sort_4,MOSA,3,1.0
bubble_sort_4,MIO,1,1.0
bubble_sort_4,MIO,2,1.0
bubble_sort_4,MIO,3,1.0
bubble_sort_4,WHOLE_SUITE,1,1.0
bubble_sort_4,WHOLE_SUITE,2,1.0
bubble_sort_4,WHOLE_SUITE,3,1.0
bubble_sort_4,RANDOM,1,1.0
bubble_sort_4,RANDOM,2,1.0
bubble_sort_4,RANDOM,3,1.0
bubble_sort_7,DYNAMOSA,1,0.9523809523809523
bubble_sort_7,DYNAMOSA,2,1.0
bubble_sort_7,DYNAMOSA,3,1.0
bubble_sort_7,MOSA,1,1.0
bubble_sort_7,MOSA,2,1.0
bubble_sort_7,MOSA,3,1.0
bubble_sort_7,MIO,1,0.9523809523809523
bubble_sort_7,MIO,2,1.0
bubble_sort_7,MIO,3,1.0
bubble_sort_7,WHOLE_SUITE,1,1.0
bubble_sort_7,WHOLE_SUITE,2,1.0
bubble_sort_7,WHOLE_SUITE,3,1.0
bubble_sort_7,RANDOM,1,0.8571428571428571
bubble_sort_7,RANDOM,2,0.8571428571428571
bubble_sort_7,RANDOM,3,0.8571428571428571
insertion_sort_11,DYNAMOSA,1,0.9130434782608695
insertion_sort_11,DYNAMOSA,2,0.9130434782608695
insertion_sort_11,DYNAMOSA,3,0.9130434782608695
insertion_sort_11,MOSA,1,0.9130434782608695
insertion_sort_11,MOSA,2,0.9130434782608695
insertion_sort_11,MOSA,3,0.9130434782608695
insertion_sort_11,MIO,1,0.9130434782608695
insertion_sort_11,MIO,2,0.9130434782608695
insertion_sort_11,MIO,3,0.9130434782608695
insertion_sort_11,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_11,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_11,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_11,RANDOM,1,0.2608695652173913
insertion_sort_11,RANDOM,2,0.2608695652173913
insertion_sort_11,RANDOM,3,0.2608695652173913
insertion_sort_14,DYNAMOSA,1,0.9130434782608695
insertion_sort_14,DYNAMOSA,2,0.9130434782608695
insertion_sort_14,DYNAMOSA,3,0.9130434782608695
insertion_sort_14,MOSA,1,0.9130434782608695
insertion_sort_14,MOSA,2,0.9130434782608695
insertion_sort_14,MOSA,3,0.9130434782608695
insertion_sort_14,MIO,1,0.9130434782608695
insertion_sort_14,MIO,2,0.9130434782608695
insertion_sort_14,MIO,3,0.9130434782608695
insertion_sort_14,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_14,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_14,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_14,RANDOM,1,0.2608695652173913
insertion_sort_14,RANDOM,2,0.2608695652173913
insertion_sort_14,RANDOM,3,0.2608695652173913
insertion_sort_17,DYNAMOSA,1,0.9130434782608695
insertion_sort_17,DYNAMOSA,2,0.9130434782608695
insertion_sort_17,DYNAMOSA,3,0.9130434782608695
insertion_sort_17,MOSA,1,0.9130434782608695
insertion_sort_17,MOSA,2,0.9130434782608695
insertion_sort_17,MOSA,3,0.9130434782608695
insertion_sort_17,MIO,1,0.9130434782608695
insertion_sort_17,MIO,2,0.9130434782608695
insertion_sort_17,MIO,3,0.9130434782608695
insertion_sort_17,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_17,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_17,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_17,RANDOM,1,0.2608695652173913
insertion_sort_17,RANDOM,2,0.2608695652173913
insertion_sort_17,RANDOM,3,0.2608695652173913
insertion_sort_2,DYNAMOSA,1,0.9130434782608695
insertion_sort_2,DYNAMOSA,2,0.9130434782608695
insertion_sort_2,DYNAMOSA,3,0.9130434782608695
insertion_sort_2,MOSA,1,0.9130434782608695
insertion_sort_2,MOSA,2,0.9130434782608695
insertion_sort_2,MOSA,3,0.9130434782608695
insertion_sort_2,MIO,1,0.9130434782608695
insertion_sort_2,MIO,2,0.9130434782608695
insertion_sort_2,MIO,3,0.9130434782608695
insertion_sort_2,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_2,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_2,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_2,RANDOM,1,0.9130434782608695
insertion_sort_2,RANDOM,2,0.9130434782608695
insertion_sort_2,RANDOM,3,0.9130434782608695
insertion_sort_20,DYNAMOSA,1,0.9130434782608695
insertion_sort_20,DYNAMOSA,2,0.9130434782608695
insertion_sort_20,DYNAMOSA,3,0.9130434782608695
insertion_sort_20,MOSA,1,0.9130434782608695
insertion_sort_20,MOSA,2,0.9130434782608695
insertion_sort_20,MOSA,3,0.9130434782608695
insertion_sort_20,MIO,1,0.9130434782608695
insertion_sort_20,MIO,2,0.6956521739130435
insertion_sort_20,MIO,3,0.9130434782608695
insertion_sort_20,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_20,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_20,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_20,RANDOM,1,0.2608695652173913
insertion_sort_20,RANDOM,2,0.2608695652173913
insertion_sort_20,RANDOM,3,0.2608695652173913
insertion_sort_23,DYNAMOSA,1,0.9130434782608695
insertion_sort_23,DYNAMOSA,2,0.9130434782608695
insertion_sort_23,DYNAMOSA,3,0.9130434782608695
insertion_sort_23,MOSA,1,0.9130434782608695
insertion_sort_23,MOSA,2,0.9130434782608695
insertion_sort_23,MOSA,3,0.9130434782608695
insertion_sort_23,MIO,1,0.9130434782608695
insertion_sort_23,MIO,2,0.9130434782608695
insertion_sort_23,MIO,3,0.9130434782608695
insertion_sort_23,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_23,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_23,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_23,RANDOM,1,0.2608695652173913
insertion_sort_23,RANDOM,2,0.2608695652173913
insertion_sort_23,RANDOM,3,0.2608695652173913
insertion_sort_26,DYNAMOSA,1,0.9130434782608695
insertion_sort_26,DYNAMOSA,2,0.9130434782608695
insertion_sort_26,DYNAMOSA,3,0.9130434782608695
insertion_sort_26,MOSA,1,0.9130434782608695
insertion_sort_26,MOSA,2,0.9130434782608695
insertion_sort_26,MOSA,3,0.9130434782608695
insertion_sort_26,MIO,1,0.6956521739130435
insertion_sort_26,MIO,2,0.9130434782608695
insertion_sort_26,MIO,3,0.8695652173913043
insertion_sort_26,WHOLE_SUITE,1,0.8695652173913043
insertion_sort_26,WHOLE_SUITE,2,0.8695652173913043
insertion_sort_26,WHOLE_SUITE,3,0.8695652173913043
insertion_sort_26,RANDOM,1,0.2608695652173913
insertion_sort_26,RANDOM,2,0.2608695652173913
insertion_sort_26,RANDOM,3,0.2608695652173913
insertion_sort_29,DYNAMOSA,1,0.9130434782608695
insertion_sort_29,DYNAMOSA,2,0.9130434782608695
insertion_sort_29,DYNAMOSA,3,0.9130434782608695
insertion_sort_29,MOSA,1,0.9130434782608695
insertion_sort_29,MOSA,2,0.9130434782608695
insertion_sort_29,MOSA,3,0.9130434782608695
insertion_sort_29,MIO,1,0.9130434782608695
insertion_sort_29,MIO,2,0.9130434782608695
insertion_sort_29,MIO,3,0.9130434782608695
